prop_id,crop,class_code,suitability_group,suitability_score,street,suburb,state,postcode,full_address,latitude,longitude
4,Blueberries..nhb.,8808,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Blueberries..shb.,11377,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Carrot.seed,11692,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Carrots,7736,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Cherries,5027,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Cocksfoot.Continental,445,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Cocksfoot.Mediterranean,2589,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Enterprise.Versatility.Index,17996,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Enterprise.Versatility.Index...Pastures,0,NA,NA,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Eucalyptus.Globulus,51219,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Eucalyptus.Nitens,38608,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Hazelnuts,36365,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Industrial.Hemp,1170,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Linseed,844,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Lucerne,7705,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Olives,5853,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Onions,48690,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Phalaris,2295,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Pinus.Radiata,200,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Poppies,3060,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Potatoes,4501,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Pyrethrum,17646,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Raspberries,3345,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Red.Clover,652,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Rye.Grass,837,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Sparkling.Wine.Grapes,81,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Strawberries,23605,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Strawberry.Clover,989,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Table.Wine.Grapes,127,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Tall.Fescue.Continental,945,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Tall.Fescue.Mediterranean,2589,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,Wheat,3247,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
4,White.Clover,837,Unsuitable,0,19 Central Castra Road,Sprent,TAS,7315,19 Central Castra Road Sprent TAS 7315 Australia,-41.2758139,146.1352199
5,Barley,22639,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Blueberries..nhb.,59898,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Blueberries..shb.,59518,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Carrot.seed,53933,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Carrots,57192,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Cherries,490266,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Cocksfoot.Continental,8835,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Cocksfoot.Mediterranean,8835,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
5,Enterprise.Versatility.Index,17996,Unsuitable,0,172 Bridgenorth Road,Legana,TAS,7277,172 Bridgenorth Road Legana TAS 7277 Australia,-41.3769595,147.0107736
